Wavelength	K000100001.asd	K000100002.asd	K000100003.asd	K000100004.asd	K000100005.asd	K000100006.asd	K000200000.asd	K000200001.asd	K000200002.asd	K000200003.asd	K000200004.asd	K000200005.asd	K000300000.asd	K000300001.asd	K000300002.asd	K000300003.asd	K000300004.asd	K000300005.asd	K000400000.asd	K000400001.asd	K000400002.asd	K000400003.asd	K000400004.asd	K000400005.asd	K000500000.asd	K000500001.asd	K000500002.asd	K000500003.asd	K000500004.asd	K000500005.asd	K000600000.asd	K000600001.asd	K000600002.asd	K000600003.asd	K000600004.asd	K000600005.asd	K000700000.asd	K000700001.asd	K000700002.asd	K000700003.asd	K000700004.asd	K000700005.asd	K000800000.asd	K000800001.asd	K000800002.asd	K000800003.asd	K000800004.asd	K000800005.asd	K000900000.asd	K000900001.asd	K000900002.asd	K000900003.asd	K000900004.asd	K000900005.asd	K001000000.asd	K001000001.asd	K001000002.asd	K001000003.asd	K001000004.asd	K001000005.asd
350	6.12448094525228E-02	5.55715054134445E-02	0.069646972698459	5.07802891678729E-02	6.97207382384677E-02	6.26491344479213E-02	7.28888435214516E-02	9.10876028609887E-02	7.97708265373226E-02	0.076696932202516	7.15312771285409E-02	6.63159231138844E-02	7.67369724595504E-02	0.07696023595633	0.065757435671643	0.059331940190199	6.68179996626274E-02	0.066848409943698	7.81502980625647E-02	7.77028084219273E-02	7.65367980937896E-02	5.53852518793429E-02	6.44529604727424E-02	7.44073971829102E-02	8.37376062264195E-02	7.53383090495692E-02	8.96782176630254E-02	6.69631418002463E-02	7.45315358478983E-02	7.40605470371968E-02	7.90180829191935E-02	0.068215979197073	7.81357818023372E-02	6.38216426041869E-02	6.99604852531482E-02	8.15249717437934E-02	7.91168158965008E-02	8.83360589122758E-02	8.96191106190082E-02	6.96959323522859E-02	6.30668739491209E-02	6.77624753078497E-02	6.16732877993725E-02	7.30311352901174E-02	6.50895319141251E-02	7.22398030856521E-02	7.23634394206131E-02	7.00411743059519E-02	7.81228057326627E-02	6.87913246664205E-02	7.53258909442495E-02	5.09794960687076E-02	6.49828006696031E-02	7.33531578967399E-02	0.073702945807469	7.26582138206023E-02	6.27524832720909E-02	6.08229991621335E-02	5.76770493994292E-02	 6.48682217976074E-02 
351	6.10185789035682E-02	5.55649151062633E-02	6.69419694783052E-02	4.84822487261967E-02	6.72787080879024E-02	6.17155515734611E-02	7.20184441990889E-02	8.73107202247913E-02	8.10621360494113E-02	7.47872305847338E-02	0.067955840329578	6.71948749824867E-02	7.25239081183293E-02	7.89445361026627E-02	6.23935995877875E-02	5.98369496202508E-02	6.50855382596936E-02	6.26349755852122E-02	7.94543690074436E-02	7.61514753240604E-02	7.71542111491136E-02	5.82153448968214E-02	6.50932049399504E-02	6.99780265380102E-02	8.28082886802442E-02	7.13009141061592E-02	8.68799842745252E-02	6.49660939335564E-02	0.072739444747727	7.16105906909762E-02	7.91911034530232E-02	6.81933415603313E-02	7.48772237426768E-02	6.12919621788361E-02	7.02165101543128E-02	0.079763793129733	0.076942891839095	0.087172488534706	0.084990601021206	6.98523698225179E-02	6.09665534363269E-02	6.44899726664413E-02	5.89904105138261E-02	6.85692503461402E-02	6.33459569068827E-02	0.07234408160548	6.81886049686609E-02	6.81010333763559E-02	7.37169909341323E-02	6.53849912396419E-02	0.07329401444117	0.050821203383624	6.07386975694619E-02	7.33813851452197E-02	7.07378414300963E-02	6.99103307516553E-02	6.11301167879342E-02	5.94509202228028E-02	5.69887115180647E-02	 6.02735923492647E-02 
352	5.79057093334983E-02	5.89236216544876E-02	6.78656497962526E-02	4.94177706933105E-02	6.56380912983944E-02	5.94683387355535E-02	7.28880672486141E-02	0.080281393223742	8.02123924793423E-02	7.38010899062172E-02	0.068867215732316	6.83879681643983E-02	7.28019545865497E-02	7.85982056478404E-02	6.05975364567058E-02	6.05515664947892E-02	6.67843333828509E-02	6.16900417656959E-02	7.97203327172264E-02	7.57176318346878E-02	7.74166121571629E-02	5.84518779008115E-02	6.84902861942916E-02	7.12852099602521E-02	7.90495010942698E-02	7.24949070725945E-02	8.69366796974336E-02	5.81161657053158E-02	7.09387815879331E-02	7.45222046626007E-02	7.53045492876918E-02	0.071191815917833	7.35838158321191E-02	5.90613226369624E-02	7.42873893876173E-02	7.87965233838021E-02	7.78196934785858E-02	8.31180116563556E-02	7.90131822997032E-02	6.95485579627488E-02	6.33786011523358E-02	6.29930047238861E-02	5.98515852576478E-02	6.85329249177168E-02	5.97347722709139E-02	7.29013286145557E-02	6.34274383818329E-02	6.56764914885516E-02	6.92294561674834E-02	6.13212599450844E-02	6.86456934448402E-02	5.18709582957189E-02	6.10571442862189E-02	7.26129693502572E-02	7.13194634001743E-02	6.97837315919472E-02	6.04694541244412E-02	6.32966879490368E-02	6.04505031957024E-02	 5.59925626702027E-02 
353	5.07492384874977E-02	5.67347017274479E-02	0.067479315147938	5.25064657988816E-02	6.18686736500678E-02	5.52797528569865E-02	7.02645155937333E-02	8.19904518100606E-02	7.90261483038495E-02	7.51219454651068E-02	7.80100616864544E-02	6.45538783962859E-02	7.49092157541391E-02	7.26431835734589E-02	5.03160939661729E-02	5.60840324036099E-02	0.06832339534254	0.062307868047482	7.74551144978128E-02	0.072452954110638	7.40967459633903E-02	4.79900326257315E-02	6.41691453506781E-02	7.36690155566436E-02	7.91557955264575E-02	7.05350185923679E-02	8.91706951844463E-02	5.80857096659253E-02	7.31643440722118E-02	0.070990741577657	7.09588322786019E-02	6.93828340018372E-02	7.16417545799843E-02	0.055266240477756	6.89203367338488E-02	0.080145116621622	8.04014473861533E-02	0.079618453438547	7.64887385391874E-02	6.80614127040312E-02	5.89225836357669E-02	6.15359150098717E-02	6.20406382678204E-02	7.13001801396968E-02	5.69742793123135E-02	7.49959590944733E-02	6.64638277444003E-02	6.50008304499672E-02	6.76469929973853E-02	6.63586083300744E-02	6.34521078562004E-02	4.33245824344248E-02	6.12632513304295E-02	7.06142878841808E-02	7.10179480955006E-02	7.28371900372336E-02	6.18547895876592E-02	6.06041599457407E-02	5.64923897835067E-02	 0.060331969368938 
354	5.16574203236505E-02	5.63748245703568E-02	6.97924565995118E-02	0.050682158647061	5.58217656191565E-02	5.79017681826603E-02	6.33323532132162E-02	8.25263714291221E-02	7.76268190132491E-02	7.08162892042515E-02	7.24341950957166E-02	6.41052615147027E-02	7.63321697132209E-02	6.73602387228628E-02	5.09630890085563E-02	5.68292050661432E-02	6.85583846428131E-02	6.03548621196867E-02	7.40946773584001E-02	7.33810372367519E-02	7.19742671138372E-02	4.70574247386999E-02	5.78712879071696E-02	0.070764595777377	7.60797485504187E-02	6.66783120471581E-02	8.29835309950886E-02	5.66868414082742E-02	6.90497987792916E-02	7.13468148744927E-02	7.26111319588063E-02	6.57906144539746E-02	7.26534360464483E-02	5.81175536904594E-02	0.069162252406381	7.97197258116204E-02	0.077337811299098	7.73728901786889E-02	7.95973942196504E-02	6.70095409688618E-02	0.06148019163946	6.05070685823898E-02	6.16407794102484E-02	6.99810458803039E-02	5.63194616378712E-02	0.071624264787657	6.78053871731514E-02	6.52665267450673E-02	6.76377006143246E-02	6.31659652011961E-02	6.46224435557921E-02	0.045940319973289	5.89250216365068E-02	7.19973378371988E-02	7.22174958862021E-02	7.24679871073521E-02	0.061566505482196	5.89103779322074E-02	5.33546273061214E-02	 6.17442346307318E-02 
355	5.36035769749724E-02	5.58102080134849E-02	6.98616185875414E-02	4.78165789431414E-02	5.72348936810714E-02	5.91778538258573E-02	0.065526343836058	0.083949596241513	7.59655440022793E-02	6.80078780796892E-02	6.77676857951896E-02	6.43601370501993E-02	7.63063201603953E-02	6.74992847001383E-02	5.86739458379589E-02	0.058483349312971	6.73327889783297E-02	6.03884430068762E-02	7.47349432029366E-02	7.41560924883095E-02	7.01951557498151E-02	4.77203120291079E-02	5.65238217483906E-02	6.97168759701323E-02	7.54817440982083E-02	6.67682341464449E-02	8.06732590685984E-02	5.36965781890597E-02	6.76248899406727E-02	7.00142827262552E-02	7.65709366281418E-02	6.53226364763647E-02	7.25095350900727E-02	6.08256741714481E-02	7.01564576935225E-02	7.77543436431007E-02	7.49540251703795E-02	7.96258758424145E-02	8.11123228986856E-02	6.39541329223263E-02	6.29011195756247E-02	6.01105541441817E-02	6.51218223576142E-02	6.80833743345359E-02	5.71326232924083E-02	6.83072767915287E-02	6.78172369651437E-02	6.50964922614799E-02	0.067765498709362	6.19208729853092E-02	0.067129806986894	5.06452074265357E-02	5.94848632531682E-02	7.32584608328717E-02	7.28046964956647E-02	6.90474913502847E-02	6.01193397085369E-02	5.61651400244047E-02	0.054713199508974	 6.24125054916602E-02 
356	5.25718269896278E-02	0.054247372234084	6.65303583054861E-02	4.67726123610392E-02	6.39918505200709E-02	5.71408555853529E-02	7.50722050118404E-02	8.64457258489045E-02	7.47327554357416E-02	7.05867954465022E-02	7.08134371136882E-02	6.41847500044291E-02	7.41090109897031E-02	7.23165120861482E-02	6.52711110131463E-02	5.82894300676965E-02	6.63397033300913E-02	6.23719604189212E-02	7.89990970399205E-02	7.35873691397358E-02	6.93055443136895E-02	4.64584703645036E-02	6.03013146307583E-02	7.14678490345342E-02	7.81326286695377E-02	7.10293976760341E-02	0.08576628653082	5.29928655741738E-02	7.07973192619395E-02	6.63810634433235E-02	7.89550850695937E-02	6.79934997315493E-02	7.12390952592106E-02	6.02673188094471E-02	6.92336243883382E-02	7.67938457856697E-02	7.58853250447715E-02	8.34991980066347E-02	7.99957904964425E-02	6.12141957334368E-02	6.04339305484808E-02	6.05310226689801E-02	6.96462861351894E-02	6.75563913884899E-02	5.85746515751281E-02	6.71784964869175E-02	6.75774208108867E-02	6.44765025368595E-02	6.85293654806549E-02	6.60394989029385E-02	6.80468994491543E-02	5.08564556306012E-02	0.063838206991615	7.30460253737258E-02	7.27236665627331E-02	6.55329763613146E-02	5.88942599377565E-02	5.34249755776462E-02	5.86992172444048E-02	 6.36184076111054E-02 
357	5.09341878921876E-02	5.35998683002038E-02	6.42327395532322E-02	4.75737262574558E-02	5.92296305377045E-02	5.93134920983887E-02	7.08880071342115E-02	8.64432953588067E-02	7.55244488537072E-02	7.64138567512697E-02	7.25288015097618E-02	6.57682061543437E-02	6.88454346492139E-02	7.50648094507581E-02	6.11588034128472E-02	5.73939573739228E-02	6.90539717227799E-02	5.97974921962465E-02	7.97303934998823E-02	7.56660172091416E-02	7.22163017609094E-02	4.89074275705193E-02	6.14439347497159E-02	0.067906752690743	7.75201473542152E-02	7.24742940424853E-02	8.83440128482949E-02	6.19284012606127E-02	6.95993429345878E-02	6.76496474437981E-02	7.72971325081404E-02	6.78948741820956E-02	7.46171064512221E-02	5.97216350134286E-02	6.90176152113372E-02	8.12582732936072E-02	7.65003899286627E-02	7.90113480536741E-02	8.36233254664756E-02	6.69897933289163E-02	6.05676869193521E-02	6.19136744914766E-02	6.04010410500203E-02	6.70011052652577E-02	5.99090788930037E-02	6.47546841048587E-02	6.75878169077815E-02	0.065056466243607	7.26123103136419E-02	6.72390076791187E-02	6.86945478825682E-02	4.72421605948827E-02	6.64036845928421E-02	7.36319674712854E-02	7.47597230740902E-02	6.67184342754538E-02	5.96066703605199E-02	5.64920704997046E-02	5.77244202243957E-02	 6.36229676972798E-02 
358	5.17596015333803E-02	5.51857572903888E-02	6.53719326078903E-02	4.66869453399116E-02	6.02004073633652E-02	5.44199081032642E-02	6.70164368027972E-02	8.08489934320341E-02	7.45748352646932E-02	7.19419061046405E-02	6.70436594839017E-02	6.43419164280424E-02	6.79603029750147E-02	7.60236741482311E-02	5.34157679472788E-02	5.42660132794953E-02	0.066026752953645	5.88431244644343E-02	7.43566516843239E-02	7.48933250145045E-02	0.071556784380779	0.049429135026057	6.21934362156479E-02	6.81175423207388E-02	7.64546026343967E-02	6.69105090592891E-02	8.23853177081612E-02	6.01207439258912E-02	6.78354009470076E-02	6.87378548039509E-02	7.52766808039406E-02	0.06676175087301	7.64018419485803E-02	6.01784693729421E-02	7.09816301921483E-02	7.89205016302149E-02	7.75256187197917E-02	7.70791847131663E-02	0.08081390372098	6.62288795643482E-02	6.11260501862019E-02	5.91793709893717E-02	5.85237268504417E-02	6.77103701260409E-02	5.68942597955041E-02	6.58726372570194E-02	6.52329625997325E-02	0.064705812409456	7.12217592015626E-02	6.14874448501593E-02	7.01614969344162E-02	4.73081089486112E-02	0.064828919269078	7.06201109373854E-02	6.93960783439778E-02	6.46335105433898E-02	5.92442042500933E-02	5.89685638670195E-02	5.77849264392406E-02	 5.92756025183171E-02 
359	5.03059737481342E-02	5.46387576136065E-02	6.41814827713087E-02	4.53553433788478E-02	6.10896520997993E-02	5.09819886243238E-02	6.31678295341083E-02	7.76075100913682E-02	0.073785615409669	6.58432889609926E-02	6.09283857818768E-02	6.22400462125668E-02	6.95139660781028E-02	7.26449047157285E-02	4.69233948878072E-02	5.23068489129057E-02	6.44066870268898E-02	6.02958718982224E-02	0.069619460758279	0.071415131745329	6.73313511654908E-02	4.70192512274588E-02	6.12135568922826E-02	6.87813869474643E-02	7.54046250275417E-02	6.41121838798361E-02	7.71810715209731E-02	5.56638893678171E-02	6.66648606364127E-02	6.66881471679103E-02	7.36105469330155E-02	6.36213182989149E-02	7.34820535925938E-02	5.81551477683849E-02	6.89062629333506E-02	7.44791626275215E-02	7.68983385219231E-02	7.60540451682337E-02	7.48951452626685E-02	6.19789656514118E-02	6.02768210569453E-02	5.77035514755001E-02	5.87839797677955E-02	6.80353698076751E-02	5.28755936974217E-02	6.77805354388789E-02	6.20942174513661E-02	6.16651217840421E-02	6.75255659504836E-02	5.73647633272954E-02	0.068856957053892	4.70696414850954E-02	6.02106625540978E-02	6.69109518138579E-02	6.43908744096663E-02	6.48422558747384E-02	0.05842539049439	5.81757296002185E-02	5.66864103904998E-02	 5.48707268282321E-02 
